REFCODE;GFN2;PM7;PM6
HAPBEF;0.161;0.302;1.135
HAPQOE;0.1654;0.7404;0.1982
HAPSIA;0.6471;0.9821;0.9808
HAQBEI;0.4878;0.5516;0.4278
HAQBIM;0.8539;1.015;1.2891
HAQBOS;0.913;0.8106;1.1171
HAQDAH;0.1609;0.2294;0.5631
HAQGEL;0.4202;0.798;2.3809
HAQGIP01;0.1608;0.2223;0.1825
HARJES;0.2441;0.3786;0.7323
HARSOL;0.98;0.5033;0.5149
HASFIQ;0.5594;0.3638;0.5385
HASGEN;0.3445;0.2334;1.1029
HASJEQ;0.1085;0.0983;0.576
HATBOT;1.2976;0.2357;0.4867
HATTUR;0.2125;0.2025;0.733
HATTUR01;4.1408;0.1956;0.7243
HATTUR02;0.2009;0.21;0.7253
HATVUT;0.3737;0.3738;0.4938
HAVNUO;0.7401;1.3326;0.8374
HAVSIJ;0.6808;1.0054;0.8917
HAWKAS;0.1503;0.3262;0.324
HAWYEM;3.5208;0.6045;0.28
HAXDIU;0.2828;0.3872;0.5489
HAXHEU;0.4561;0.4233;0.4493
HAXQUS;0.1079;0.1566;0.2555
HAXVIM;0.1687;0.9982;0.522
HAYBEQ;0.2917;0.4998;0.684
HAYTEG;0.493;0.9616;0.7148
HAZHUN;0.2544;0.2486;0.2373
HAZJAV;0.179;0.3019;0.3106
HAZJEZ;0.4406;0.1772;0.273
HAZJEZ01;0.4312;0.1707;0.2826
HAZJID;0.3082;0.6127;0.751
HAZKOI;0.2834;0.5374;0.9947
HCXOFE;0.3501;0.7217;0.6829
HEBCFE;0.9189;0.9672;0.9793
HEBHII;0.1062;0.2078;0.3834
HEBHUU;1.0992;0.9218;0.7128
HEBJAC;0.3253;0.3543;1.1933
HEBMOQ;0.1352;0.1672;1.2317
HEBNOR;0.8513;0.9568;1.25
HEBPIN;0.482;0.6438;1.287
HEBPUZ;0.1136;0.1441;0.5659
HEBVIT;0.4261;0.2754;0.6041
HEBVIW;0.4244;0.6043;0.1886
HEBVOC;0.4145;1.4412;0.7223
HECGON;0.1841;0.1379;0.4535
HECHAA;0.1739;0.5237;0.5086
HEDRAJ;0.282;0.1905;0.6223
HEDVIY;0.1634;0.1449;0.242
HEFFUV;0.5792;0.3151;0.4467
HEFHIL;0.6311;1.1862;0.9128
HEFLAH;0.6942;0.9482;0.7351
HEFLEL;0.3857;0.4389;0.711
HEFLUB;1.0285;0.7445;0.7628
HEHPOB;0.6546;0.4872;0.513
HEJXUS;0.172;0.2924;0.342
HEJYED;0.2698;0.5738;0.6815
HEKQOG;0.0976;0.8445;0.1982
HEKQUM;0.5507;0.3771;0.1126
HENDEK;0.2221;0.8073;0.218
HENFAI;0.2378;0.7762;0.2538
HENGIR;0.3562;0.3034;0.7284
HERJUK;0.4069;1.0459;2.5669
HESQOL;0.1103;0.2715;0.5998
HESVOQ;0.1707;0.1984;0.4622
HETBAK;0.2458;0.4117;0.6001
HETQON;0.1437;0.2436;0.8749
HETYUA01;0.155;0.2192;0.3023
HEVTEJ;0.2657;0.2876;1.0751
HEWHOG;0.8833;1.3327;1.3869
HEWHUM;0.1092;0.1246;0.1157
HEWKOL;0.4202;0.9182;0.8437
HEXNED;0.2747;0.685;0.4944
HEXPIK;1.2698;1.2174;1.3199
HEYMAZ;0.4318;1.5814;0.4456
HEYNEE;0.2268;0.2129;1.1507
HEYNII;0.0813;0.1741;0.6198
HEYNOO;0.5872;0.5552;0.3069
HEYNUU;0.2029;0.2299;0.5906
HEYWEP;0.1928;0.3606;0.291
HEZFUN;0.1883;0.1885;0.351
HEZGEY;0.1575;1.0125;0.7747
HEZMIJ;0.4755;0.4567;0.6411
HEZYAO;0.1662;0.6212;0.8218
HFULFE;0.1764;0.1461;1.1998
HIBMEL;0.3338;0.2756;0.901
HIDGAD;0.6243;0.4948;0.8588
HIDWOI;0.2206;0.3908;1.6067
HIDWOI01;0.2233;0.3782;1.102
HIDXOH;0.7303;0.2475;0.164
HIDXUN;0.1839;0.2972;0.3086
HIDYAU;0.1765;0.1631;0.2028
HIDYEY;0.1152;0.6429;0.1631
HIDYUO;1.1148;0.3982;1.5627
HIFBAA;0.4684;0.7183;2.3192
HIGFIM;0.2576;0.2524;1.2167
HIGFOS;0.4283;0.6668;0.574
HIGFUY;0.1316;0.2942;1.2529
HIGGOV;0.5029;0.2782;0.6131
HIHDIM;0.4845;0.4841;1.458
HIHDOS;0.2416;0.5295;0.6396
HIHXIH;0.181;0.6904;1.6137
HIHXON;0.2088;0.5646;2.1676
HIJXAA;0.4194;0.3429;1.1341
HIKNEV;1.2142;0.2139;0.9162
HIKRUQ;0.6337;1.0569;0.1775
HILWEG;0.8;0.7148;0.7469
HIMDUC;0.4969;0.4507;0.6209
HIMREC;0.5281;1.4382;0.6728
HINBEN;0.7015;0.8808;0.9198
HINTON;0.8941;1.1737;1.8548
HIPQUT;0.2954;0.4696;1.1198
HIPRAA;0.3555;0.4954;1.1912
HIPREE;0.6308;0.6065;1.208
HIQFOE;0.3642;0.4673;0.6746
HIRNUT;0.2162;0.3674;0.9696
HISCIV;0.4923;0.8235;0.7424
HISCIV01;0.2582;0.1846;0.5667
HISTUZ;0.8076;1.5543;0.4245
HIVLAB;0.2903;0.3079;1.0445
HIVZAN;0.4122;0.5171;1.047
HIWPIM;0.2568;0.2787;0.2466
HIWXEQ;0.7004;0.3844;0.6808
HIXFOK;0.4119;1.408;0.749
HIXLUW;0.2193;0.4067;0.9109
HIXMOS;0.0979;0.3736;0.5325
HIXSUC;0.2079;0.2673;0.3485
HIXWUH;0.2848;0.5446;1.2144
HIXXAO;0.2522;0.4112;1.1025
HIXXES;0.3004;0.371;0.9446
HIYGUS;0.1267;0.3939;1.1205
HIZMUZ;0.6985;0.6024;2.9532
HIZNUA;0.7025;1.2909;1.4133
HIZPAI;0.73;1.4671;0.9453
HMCIFE15;0.2765;0.252;0.3589
HOBLUG;0.2881;0.3016;0.4297
HOBPIY;0.6587;0.6056;1.0845
HOBQAR;0.3968;0.4858;0.4895
HOBQEV;0.4919;0.6616;0.8208
HOBQOF;0.4973;0.6207;0.6283
HOBQUL;0.5501;0.5913;1.1349
HOBTIC;0.2338;0.5446;0.3891
HOBTOI;0.0967;0.4315;0.4332
HOBVAX;0.1776;0.2963;0.8251
HOBVEB;0.137;0.2776;1.0597
HOBVIF;0.127;0.3182;0.5697
HOBZEF;0.1799;0.7083;0.725
HOCBAE;0.1396;0.3944;1.1187
HOCBIM;0.1357;0.4079;0.9979
HODYII;0.5988;0.5515;0.3307
HOFDEN;0.2655;0.2517;0.4028
HOJVOT;0.1497;0.2675;0.9756
HOJYIP;0.2913;0.5214;2.0649
HONGAT;0.2175;0.2844;0.6541
HONLAY;0.3117;0.4266;0.5713
HONNEE;0.4084;0.4265;0.701
HOPWOY;0.1905;0.1997;0.2695
HOQCUL;0.3048;0.3983;0.2906
HORKIK;0.1093;0.1681;0.1376
HOSGIH;0.3244;1.8329;0.8975
HOSRUD;0.2638;0.2675;0.4393
HOSTUF;0.259;0.316;0.4229
HOSWUI;0.5519;0.2472;0.2096
HOTQEM;0.248;0.2728;0.5058
HOTQEN;0.3161;0.9298;0.7033
HOVGOO;0.3567;0.3124;1.6497
HOVHEH;0.1116;0.3025;0.3473
HOVROZ;0.3369;1.2629;0.3238
HOVWUK;0.4668;0.4828;1.234
HOVXUN;0.3605;0.3326;0.3443
HOVYAU;0.2988;0.326;1.2324
HOVYEY;0.1249;0.2198;0.2339
HOVZOI;0.4646;0.3434;0.307
HOWMAJ;0.2477;0.5355;1.2237
HOWMIR;0.3042;0.3593;0.8631
HOXXEZ;1.4415;2.5717;1.0106
HOYCIH;0.6212;0.9502;0.9184
HOYHIM;0.073;0.0979;1.2257
HOZQES;1.9851;1.9267;1.433
HOZROD;0.5038;1.2825;0.5728
HOZVOJ;0.2813;1.5644;0.4775
HOZVUP;0.3001;1.3777;0.8759
HUCDAK;0.5236;0.43;0.2701
HUDLIB;1.4523;0.9204;1.5398
HUFCUG;0.1651;0.1809;0.3838
HUFDER;0.2789;0.2829;0.411
HUGQEH;0.829;1.4602;1.6887
HUGTUA;0.4133;1.1102;1.0897
HUGVEM;0.2394;0.4976;0.5738
HUGXEO;0.211;0.4988;0.6052
HUGYOY;0.5487;0.5275;1.0556
HUHVIR;0.2164;0.3062;0.2428
HUKXAM;0.5025;1.0539;0.5134
HULFAV;0.3276;0.1356;0.2377
HULQAI;0.3783;0.3832;0.4399
HULTAK;0.988;1.2531;1.0636
HUMHED;0.1208;0.2893;0.4165
HUMHON;0.3246;1.1886;0.9446
HUNKAE;0.3593;0.8418;0.5572
HUNYIZ01;0.506;0.5306;0.6745
HUPMEM;0.5914;0.5714;0.5833
HUPWIY;0.353;0.2644;0.7192
HUPWOE;0.4417;0.4301;0.6856
HUQKOV;0.4291;0.6316;0.7639
HUSJOV;0.3882;0.3371;0.9571
HUTNOZ;0.4429;0.6278;1.1026
HUTWIC01;0.3398;0.764;0.8197
HUWFAH;0.3643;0.5483;0.564
HUWFIP;0.1428;0.1509;0.9265
HUWFOV;0.1303;0.1384;1.306
HUWFUB;0.0818;0.1156;1.0491
HUWGAI;0.1927;0.448;2.1561
HUWHAJ;0.9412;0.6203;2.0018
HUWTIE;1.1251;1.8865;0.7856
HUXROI;0.1856;0.8424;1.0556
HUXZEF;0.1834;1.194;2.2483
HUXZUV01;0.16;0.2764;0.4394
HUYDUB;0.7594;0.2624;1.1666
HUYDUB01;0.7544;0.263;1.1729
HUYWUT;0.1221;1.134;0.903
HUYXEF;0.6437;1.4309;0.9837
HUZVEF;0.5749;0.6468;0.9834
HUZVIJ;0.0842;0.1854;0.3737
IBAXEQ;0.2126;0.1778;0.2282
IBIRUH;0.1117;0.3325;0.5942
ICEDOJ;0.4822;0.1785;0.1674
ICEQAI;0.2962;0.5978;0.3967
ICIRIV;0.184;0.2362;0.338
ICIROB;0.1257;0.4037;0.2934
ICIRUH;0.1209;0.4499;0.1238
ICIZAX;0.3709;0.4028;0.4707
ICOHOX;0.1324;0.3039;1.7884
ICOLIX01;0.2706;1.1152;0.5476
ICOLOD;0.9719;0.683;1.1136
ICUBIU;0.1225;1.2089;0.3696
IDAFOL;0.1858;0.6907;0.9897
IDAZUL;0.7665;0.5587;0.4723
IDECUR;0.5602;0.855;0.3663
IDEDUS;0.5406;0.4227;1.0059
IDIDII;0.5456;0.5232;0.8425
IDINEQ;0.1108;0.3861;1.0603
IDOTUQ;0.1274;0.2861;0.1355
IDOWED;0.1559;0.2342;1.2889
IDOXII;0.4058;0.2627;1.0624
IDUDIV;1.0693;1.8513;1.7114
IDUGEU;0.6258;0.8365;0.4785
IFAMUY;0.1027;0.4295;0.8587
IFANAF;0.2713;0.3501;1.1506
IFANEJ;0.4448;0.2768;1.3494
IFAPAI;0.4149;0.6676;0.9536
IFEDAZ;0.3694;0.5254;0.7636
IFEMOW;0.8008;0.3302;0.3349
IFEWEV;0.2223;0.2648;0.1719
IFILEQ;0.3421;0.3664;1.3264
IFILOA;0.3818;0.1516;0.3352
IFIPAP;0.5055;0.4053;0.896
IFODIR;0.1419;0.1805;0.4248
IFOJET;0.6546;0.4654;1.8749
IGIGUC;0.263;0.5257;1.0639
IGOQEA;0.5819;0.3609;1.0
IHALIM;0.3072;0.5279;0.762
IHENUF;0.1297;0.2388;0.6868
IHICEI;0.4873;1.0739;1.9749
IHICIM;1.4947;1.5516;1.5422
IHIHEN;0.1071;0.4103;0.9809
IHIHIR;0.1712;0.4709;1.0531
IHIMIW;0.3207;0.365;1.1177
IHIMOC;0.4628;0.3003;0.9916
IHINUI;0.6719;0.6312;0.6604
IHIQIZ;4.5872;0.1579;0.2134
IHIWEC;0.6235;0.8099;1.046
IHIZEE;0.4014;0.3196;0.7041
IHOJIZ;0.222;0.3918;2.0618
IHOJOF;0.2424;0.3269;1.4233
IHUBUI;0.2652;0.2725;0.1338
IJAZOI;0.4119;0.4167;0.8587
IJIYEG;0.7358;1.8099;3.293
IJOBUF;0.4912;0.5673;0.5441
IJOLEZ;0.3137;0.7421;1.3864
IJUJEC;0.2587;0.6974;1.6296
IJUJIG;0.5614;1.4018;1.514
IJUJOM;0.4116;1.2978;1.8441
IJUPUY;0.1483;0.2108;0.1973
IJUQAF;0.2237;1.0496;0.7102
IJUQIN;0.3015;0.4384;0.7159
IKAJIN;0.1933;0.2114;0.6482
IKEDUX01;0.3257;0.2318;0.3939
IKEDUX03;0.3051;0.2559;0.407
IKISUS;0.6534;0.5264;0.4595
IKITED;0.2838;1.0878;1.594
IKOFET;0.4097;0.2834;1.1539
IKOHAS;0.9132;0.5468;1.56
IKONOL;0.1599;0.2804;0.3303
IKOPAZ;0.1806;0.2266;0.3048
ILAQIV;0.3191;0.2246;0.2271
ILASOE;0.1516;0.1869;0.6724
ILAWEZ;0.2148;0.2183;0.4731
ILAWEZ01;0.2448;0.2178;0.4319
ILEBEG;0.5859;0.6331;0.655
ILEBIK;0.5699;2.631;0.5848
ILEBOS;0.5084;1.3819;1.8884
ILECAF;0.1224;0.4105;1.0856
ILEKIV;0.2053;0.4057;0.9869
ILEKOB;0.2251;0.4841;1.1252
ILEQAS;0.3631;0.3332;1.7713
ILESUO;0.516;0.2862;0.7483
ILETAV;0.5312;0.4917;1.7275
ILETEZ;0.9444;0.4208;1.2055
ILETID;0.8103;0.5075;0.9354
ILETOJ;0.5131;0.8354;0.7913
ILEVUS;0.9426;0.5058;0.5114
ILOHOH;0.2936;0.5873;1.2182
ILOMIH;0.2365;0.2392;1.2848
ILOSUZ;0.8719;0.8858;0.7712
ILOVEL;0.413;1.2116;0.6896
ILUPEK;0.1623;0.1528;0.2175
ILUPIO;0.2494;0.2994;0.1569
ILUQIP;0.3546;1.1204;0.835
ILUTUE;1.4696;1.8563;0.6146
IMACIK;0.4981;0.3578;0.572
IMAHAG;0.7875;1.6007;1.7757
IMAJIP;0.1238;0.185;0.2808
IMAPOC;0.2727;0.5845;1.0996
IMAPUI;0.2705;0.5925;0.6234
IMEHOX;0.1213;0.3027;0.1356
IMEHUD;0.0997;0.7631;0.1724
IMEWOM;0.2468;0.403;0.5963
IMEXED;0.2397;0.2322;0.7088
IMOKEC;0.3152;1.4901;1.3601
IMOKOM;0.6131;0.6028;0.8084
IMOTEJ;0.8674;0.9142;0.5751
IMOYEP;0.3544;0.3962;0.6355
IMOYIT;0.2455;0.3261;0.6796
IMOYOZ;0.1628;0.2173;0.4948
IMOYOZ01;0.1517;0.2121;0.5036
IMUCOK;0.2264;0.2926;0.561
IMUDAX;0.2;0.3061;0.5719
IMUVIW;0.3101;0.9751;1.1664
INEDIQ;0.3732;1.2183;1.2526
INEHIT;0.2958;0.3792;0.7312
INEQOI;0.1871;0.2767;0.1984
INERAV;0.3597;0.6134;0.7499
INEREZ;0.2419;0.4907;0.5113
INERID;0.3014;0.5236;0.6284
INESAW;0.4541;0.2048;0.1694
INIXUY;0.155;0.351;2.1515
INOLOM;0.2007;0.3214;0.2049
INOLOM01;0.1949;0.318;0.2059
INOPIK;0.2854;0.5647;0.5572
IPAJOY;0.2072;0.1767;0.2444
IPIWAF;0.1143;0.1971;0.285
IPIYEL;1.3202;0.894;1.7029
IPOQAF;0.1394;0.2829;0.3622
IPOXFC10;0.2121;0.3592;0.6622
IPTOFE;0.3631;0.8679;0.9077
IQIGAQ;0.326;1.6206;0.8887
IQIGEU;0.5505;0.7378;0.9959
IQIRUV;0.3968;0.6914;2.1325
IQIVUB;0.1738;0.4385;0.4566
IQOGEB;0.2445;0.4481;0.409
IQOGEB01;0.2439;0.4467;0.4043
IQOGOL01;0.1066;0.3023;0.2989
IQOHAY;0.441;0.1441;0.267
IQOHAY02;0.4393;0.1444;0.2663
IQOHIG;0.0877;0.4778;0.3975
IQOHIG01;0.0878;0.4747;0.4
IQOHUS;0.2276;0.1298;0.1364
IQOHUS01;0.2305;0.1294;0.1372
IQOMIK;0.4261;0.722;1.1219
IQUCIG;0.1869;0.2754;0.3013
IRAJOB;0.3517;0.5495;0.4138
IRIBOA;0.2647;0.3256;0.6561
IRIXOY;0.1249;0.2631;0.2982
IRIZAM;0.3227;0.3453;0.2768
IROGUR;0.3503;0.4547;0.3957
IROHOM;0.1729;0.1255;0.4997
IRUDUW;0.7155;0.6756;0.6532
ISEXUZ;0.6655;0.8217;1.9342
ISEZOW;0.0851;0.1957;0.1283
ISEZUC;0.0741;0.6424;0.6243
ISIHOI;0.2383;0.3261;0.4423
ISIYAK;0.6;0.5686;0.4786
ISOWOC;0.241;0.2316;0.7468
ISOWUI;0.6556;0.8645;0.7293
ISUBED;0.2588;0.6783;0.3875
ISULAJ;0.3543;0.3519;0.2936
ISULEO;0.4402;0.6093;0.7757
ISUZEC;0.1889;0.2477;1.153
ISUZIG;0.2817;0.3753;1.1656
ISUZOL;0.4928;0.4311;0.4907
ISUZOM;0.137;0.3673;1.1402
ITABIP;1.1601;2.5103;2.199
ITAJIW;0.2669;0.4527;1.2133
ITARIF;0.1401;0.1108;0.2512
ITEREG;0.2739;0.3326;0.3285
ITIGAU;0.2306;0.2638;0.7423
ITINOP02;0.4463;0.5647;0.7745
ITIYIU;0.2732;0.3121;0.1949
ITIYOA01;0.2769;0.3055;0.1895
ITOJIM;0.2998;0.4406;0.5182
ITOJOS;0.4479;0.7275;1.4103
ITOKEI;0.3705;0.4902;0.4861
ITOQUF;0.3305;0.2954;0.4031
ITUYAY;0.4582;0.5331;0.9637
IVECOB;0.3932;0.1947;0.5092
IVECUH;0.1247;0.1775;0.1746
IVEQEF;0.6146;0.3553;0.5751
IVEQOP;0.5635;0.6985;1.323
IVOSIV;0.6476;0.3701;0.341
IVOSOB;0.6442;0.322;0.2904
IVOSUH;1.3601;0.4544;0.2366
IVOTES;0.2781;1.4171;0.9905
IVOTIW;1.1362;0.4565;0.9135
IVOXUO;0.1158;0.3454;0.4438
IVUCOT;0.2622;0.5319;0.6199
IVULOC;0.1786;0.3087;0.3926
IVUMUJ;0.1446;0.6839;0.6268
IVUNAQ;0.7164;1.2706;0.6035
IWAQEE;0.3455;1.357;0.8101
IWAQUU;1.0024;0.6826;0.438
IWIJAA;0.3437;0.3638;0.3078
IWITOZ;0.2943;1.1866;0.7072
IWOVIB;0.3145;0.3448;0.5318
IWUFEN;0.4743;0.3383;0.2731
IXAFET;0.1969;0.3144;0.7563
IXAQUU;0.5093;0.5103;0.8925
IXAROP;0.5083;1.1178;1.1531
IXASAC;1.2092;0.5411;0.842
IXENAA;0.218;0.2952;0.5211
IXEQUY01;0.1799;1.3656;0.2528
IXIBEX;0.1235;0.1305;0.2975
IXINOU;0.4887;0.814;0.8263
IXIVAN;2.2646;0.8226;1.4701
IXOWAT;0.9961;0.5694;0.5451
IXUGAK;0.2764;0.897;0.799
IXUTEA;3.9704;0.2899;0.7307
IXUZOQ01;0.0918;0.1007;0.1475
IYAHEV;0.2771;0.4468;0.5477
IYAHEV02;0.5313;0.815;0.7585
IYAKUQ;0.2475;0.2037;0.1158
IYALAX;0.1874;0.2756;0.4112
IYAMUR;0.0887;0.2215;0.5518
IYISIS;0.2775;0.2147;1.3136
IZAZIT;0.0921;1.1692;0.2271
IZEGAX;0.4258;0.2678;0.3636
IZILUA;0.5579;0.5887;1.1199
IZOKOY;0.2986;0.2272;0.293
IZOKUE;0.2404;0.2298;0.1869
IZOLAL;1.1699;0.5159;0.4978
IZOXAY;0.4812;0.792;1.6079
IZUBEM;0.3124;0.5785;1.1547
IZUVII;2.073;1.2333;1.109
JADFOK;0.3192;0.4064;0.362
JAFBUO02;0.1676;0.2107;0.2466
JAFLAG;0.7775;0.8504;1.0439
JAFMOT;0.4541;0.63;0.9259
JAGJAF;0.1866;0.1712;0.1855
JAGJEJ;0.121;0.1981;0.1257
JAGKIL;0.3999;0.5659;0.9236
JAGMIO;0.123;0.4044;0.2263
JAGTOB;0.3004;0.2619;0.5277
JAGVEV;0.325;0.9832;0.8209
JAGVOF;0.6147;1.2575;0.7915
JAGXOH;1.6389;0.4626;0.1356
JAHBOJ;0.2402;0.6727;0.6077
JAHNAI;0.048;0.516;0.382
JAHTAO;0.5082;0.6393;1.1091
JAHTES;1.087;1.2031;0.9606
JAJYIF;0.3536;0.2479;0.2763
JAJYOL;0.4627;0.6951;0.557
JAKBAY;0.2407;0.1144;0.6802
JAKBAY01;0.2059;0.1938;0.6829
JAKFEG;0.1159;0.1727;0.6333
JALLEN;0.3728;0.6161;0.6227
JAMCAC;0.1378;0.1947;0.157
JANMIV;0.0678;0.0668;0.4187
JANVIE;0.2417;0.2029;0.4725
JAPTIG01;0.0904;0.0949;0.199
JAQGEO;0.128;0.3199;1.0278
JAQMAP;0.2059;0.2977;0.5138
JAQQIB;0.3219;0.1652;0.4785
JAQQOH;0.5133;0.5686;0.5403
JAQTAZ;0.1515;0.3862;0.3177
JASKAP;0.2865;0.3377;0.701
JASPAU;1.2424;0.3937;0.3619
JASRIF;0.0794;0.2379;0.5346
JASROL;0.2228;0.2265;0.7184
JASRUR;0.3993;0.5763;0.9393
JASZIM;0.1803;0.3168;0.3203
JATPUP;0.181;0.1339;0.292
JATPUP01;0.2007;0.1353;0.2901
JATTAA;1.4375;0.3674;0.3433
JATTAA01;0.6253;0.7249;0.7502
JATYEI;0.4638;0.2859;0.4995
JATZIQ;0.3831;0.7856;0.229
JAVHIY;0.1872;0.5333;0.4459
JAVJAS;0.4737;0.4101;0.9188
JAVVAG;0.4738;0.4531;0.5635
JAVVUA;0.4129;0.7277;0.6826
JAWCEQ;0.7061;0.4427;0.2893
JAWHEX;0.2754;0.5713;0.3605
JAWHIB;0.4017;0.2868;0.2751
JAWKOH;0.3216;0.2614;0.6968
JAXGIZ;0.9418;1.8418;1.0714
JAYPUV;0.1159;0.4146;0.2226
JAZCAO;0.145;0.1139;0.4088
JAZCAO10;0.1451;0.1139;0.4088
JEBKEG;0.8525;0.8772;0.9555
JEBWUL;0.3655;0.6791;1.1304
JECJAF;0.1051;0.1604;0.2916
JEDFIK;0.4651;0.3711;0.4653
JEDGII;0.1025;0.1057;0.1235
JEDLOT;0.1583;0.2204;0.3499
JEDNIS;0.5325;0.2608;0.1835
JEDUIW;0.178;0.2111;1.0618
JEDXOG;0.1681;0.4465;1.0521
JEGJEL;0.3458;0.5922;0.4855
JEGZAW;0.4768;0.3513;0.406
JEHVAT;0.2768;0.8911;0.8584
JEHVAT01;0.2817;0.924;0.9024
JELFEL;0.1606;0.3602;0.4571
JEMFIR;0.642;1.0405;0.7184
JENFEO;0.4426;0.3196;0.8615
JENSIE;0.2994;0.3447;0.4143
JENSOK;0.3416;0.3122;0.4113
JERVAE;0.0955;0.269;0.1828
JESSOQ;0.4509;0.4131;0.7853
JESSOQ01;0.4623;0.42;0.8684
JETSUW;0.1185;0.5195;0.7145
JETXUC;0.0974;0.8797;0.3397
JEVLIG;0.5242;1.7609;0.3749
JEVMAZ;0.5958;0.6961;0.6107
JEWTEL;0.4574;0.4829;0.8216
JEWTIP;0.3817;0.4062;0.6979
JIHRUN;0.4557;0.2441;0.2966
JINCOY;0.0464;0.2288;0.3478
JINLEX;0.1639;0.4372;1.2198
JINXOU;0.5649;0.9241;1.8745
JIPYAI01;0.2641;0.7538;0.8088
JIQDET04;0.1124;0.1287;0.3025
JIQYOX;0.5093;0.9374;0.9544
JIRXAJ;1.3767;1.8874;1.0195
JITKON;0.4858;0.7038;1.6549
JITRAF;0.234;0.3866;1.0134
JITTIP;0.245;0.4629;0.5383
JITWUF;0.1885;0.183;0.7623
JIVMEG;0.1811;1.2737;1.7449
JIVTOX;0.9387;0.0668;0.1574
JIWBEX;0.3313;2.1929;1.248
JIWBOH;0.3432;0.7015;0.9581
JIWXUJ;0.4952;0.1733;0.1992
JIXLEH;0.8145;0.6612;0.6783
JIYRIT;0.2375;0.427;0.622
JIYSAM;0.3074;0.6494;0.6988
JIZPIR;0.3378;0.2793;0.9524
JIZSAM;0.2878;0.39;0.7659
JIZSIW;0.4736;0.6678;0.8203
JIZSUH;0.3668;0.6538;0.6872
JIZTAO;0.34;0.3218;0.7707
JIZVET;0.5316;1.8744;0.5091
JOBFAJ;0.8026;0.8044;0.319
JOBFOW01;0.4421;0.453;0.765
JOBHOZ;0.0782;0.1068;0.3434
JOBMET;0.5247;0.2778;0.7623
JOCZOQ;0.2033;1.5734;0.5429
JODBUZ;0.3826;0.8175;0.7429
JODNEV;0.1715;1.1507;0.5691
JODXAD;0.1377;0.2012;0.1418
JOFJET;0.353;0.6243;0.3536
JOHROP;0.1071;0.4029;0.4461
JOJHAS;0.2146;1.1221;1.7899
JOJVEJ;0.3817;0.4447;0.2483
JOJVIN;0.1007;0.1684;0.2006
JOJWOV;0.1136;0.3568;0.4452
JOJWUB;0.117;0.9001;0.3087
JOJYIR;0.5159;0.708;0.4113
JOKHIB;0.3195;0.3456;0.7396
JOMMAB;0.1191;0.2489;1.1081
JOMWEN;0.1858;0.5474;0.5322
JONCIA;0.2436;0.368;0.4265
JONCUM;0.2246;0.3488;0.4037
JONDAT;0.49;0.9491;0.9123
JONGUQ;0.2175;0.3879;0.5188
JONKUU;0.1471;0.2653;0.3209
JONLAB;0.1811;0.341;0.4126
JONNAD;0.3033;0.4865;0.6001
JONXAL;0.3112;2.0384;0.6459
JONXAL10;0.3112;2.0384;0.6459
JORKAC;0.5885;0.6555;0.2232
JOSGED;0.2617;0.4115;0.7628
JOSMEL;0.1552;0.3258;0.9478
JOTZOJ;0.3138;0.4077;0.8184
JOTZUP;0.2603;0.3289;1.0517
JOVQEQ;1.3865;0.1267;0.7564
JOVVUN;0.0773;0.1814;0.1658
JOXXID;0.1417;0.2283;0.4324
JUCTAE;0.4754;0.7626;2.5481
JUDNEB;0.285;0.5788;0.7839
JUKNOS;0.2843;0.2801;0.2256
JULFAX;0.2413;0.2897;0.3491
JULFAZ;0.9041;0.8482;1.0221
JUMSUF;1.4729;0.5849;1.0762
JUMSUF01;1.6113;0.7789;1.2463
JUMSUF02;1.6087;0.7776;0.1829
JUNCEA;0.0969;0.1343;0.233
JUNJUX;0.2804;0.5219;0.6905
JUPBOL;0.2326;0.8174;0.5282
JUPCAY;0.4531;0.5904;0.7896
JUPCIG;0.3243;0.407;0.7669
JUPCOM;0.2758;0.5822;0.5989
JUPDAZ;0.2384;0.2012;0.3874
JUPRAN;0.5166;0.442;0.7794
JUQDAA;0.2536;0.4351;0.7663
JUQDII;0.3479;1.1493;0.5886
JUQHIM;0.2384;0.9952;1.2864
JURBEF;0.0969;0.1848;0.3241
JUWGUD;0.3656;0.798;0.858
JUWTIE;0.2717;0.3942;0.589
JUXNIB;0.4989;1.2648;1.1178
JUXPAV;0.2162;0.332;0.4495
JUXPID;0.3284;0.3018;0.5912
JUXPUN;0.3955;0.3474;0.8444
JUXYEG;1.1247;1.1666;2.1153
JUYNEY;0.5149;0.3242;1.1672
JUZLIZ;0.3135;0.4823;0.8399
JUZWIM;0.2642;0.8578;1.4908
KABMAE;0.1415;0.1395;0.2452
KACCEZ;1.0094;0.3;1.0627
KACJAZ;0.2323;0.463;0.5568
KACJAZ10;0.2323;0.463;0.5568
KADGAA;0.2184;0.3446;0.9717
KADGOO;0.4556;0.8352;1.1425
KADPOW;0.2833;0.1614;0.221
KADPUC;0.3129;0.4776;0.3979
KADQAJ;0.1601;0.4231;0.3954
KADXAO;0.1546;0.2445;1.435
KADXAO01;0.1452;0.2551;1.3045
KAFJIM;0.2626;0.402;0.8119
KAFJIN;0.8177;0.3392;0.7539
KAFJOS;0.6619;0.4214;0.6406
KAFRAL;0.2156;3.2707;0.7432
KAFREP;0.2244;0.5286;0.356
KAFTAP;0.901;0.7448;0.4409
KAFVOD;0.2621;1.4205;1.5849
KAGLIO;0.3517;0.4831;0.3796
